"MES_ANO_ACIDENTE","NATUREZA_DA_LESAO","AGENTE_CAUSADOR_ACIDENTE","INDICA_OBITO_ACIDENTE","POPULACAO","NOME_MUN","NOME_UF"
"01-JUL-18","Fratura","Escada Movel ou Fixa","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Metal - Inclui Liga","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Vidraria, Fibra de V","Não","93488","Caçapava","São Paulo"
"01-JUL-18","Fratura","Calcada ou Caminho p","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Louca de Mesa e Outr","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Contusao, Esmagament","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Chao - Superficie Ut","Não","160275","São Caetano do Sul","São Paulo"
"01-JUN-18","Contusao, Esmagament","Metal - Inclui Liga","Não","93736","Votuporanga","São Paulo"
"01-JUL-18","Lesoes Multiplas","Veiculo Rodoviario M","Não","7602","Guatapará","São Paulo"
"01-JUL-18","Luxacao","Veiculo, Nic","Não","671186","Sorocaba","São Paulo"
"01-JUL-18","Contusao, Esmagament","Maquina, Nic","Não","303682","Limeira","São Paulo"
"01-JUL-18","Contusao, Esmagament","Prensa - Maquina","Não","121210","Catanduva","São Paulo"
"01-JUN-18","Lesao Imediata, Nic","Motocicleta, Motonet","Não","237112","Americana","São Paulo"
"01-JUN-18","Lesao Imediata, Nic","Veiculo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Distensao, Torcao","Escada Permanente Cu","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Produto de Limpeza,","Não","160275","São Caetano do Sul","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Faca, Facao- Ferrame","Não","414810","Jundiaí","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Calcada ou Caminho p","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Luxacao","Metal - Inclui Liga","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Calcada ou Caminho p","Não","696850","Osasco","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Ser Vivo, Nic","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Maquina, Nic","Não","120533","Tatuí","São Paulo"
"01-JUN-18","Hernia de Qualquer N","Produto Animal, Nic","Não","77510","Lins","São Paulo"
"01-JUL-18","Queimadura ou Escald","Agua - Usar Quando O","Não","400949","Piracicaba","São Paulo"
"01-JUL-18","Lesao Imediata","Motocicleta, Motonet","Não","303682","Limeira","São Paulo"
"01-JUL-18","Lesao Imediata, Nic","Engrenagem - Disposi","Não","456245","São José do Rio Preto","São Paulo"
"01-JUL-18","Fratura","Escada Movel ou Fixa","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Queimadura ou Escald","Maquina de Costurar","Não","51447","São Joaquim da Barra","São Paulo"
"01-JUL-18","Distensao, Torcao","Escada Movel ou Fixa","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Fratura","Motocicleta, Motonet","Não","1365899","Guarulhos","São Paulo"
"01-JUL-18","Escoriacao, Abrasao","Vegetal - Planta, Ar","Não","836","Borá","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Produto Biologico (S","Não","47748","Louveira","São Paulo"
"01-JUL-18","Distensao, Torcao","Chao - Superficie Ut","Não","12176866","São Paulo","São Paulo"
"01-JUL-18","Lesao Imediata","Animal Vivo","Não","432957","Santos","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Balcao, Bancada - Mo","Não","1194094","Campinas","São Paulo"
"01-JUL-18","Corte, Laceracao, Fe","Lima, Grosa- Ferrame","Não","400949","Piracicaba","São Paulo"
"01-JUL-18","Contusao, Esmagament","Motocicleta, Motonet","Não","70998","Cosmópolis","São Paulo"
"01-JUL-18","Contusao, Esmagament","Metal - Inclui Liga","Não","468148","Mauá","São Paulo"
"01-JUL-18","Lesao Imediata","Rua e Estrada - Supe","Não","12176866","São Paulo","São Paulo"
